Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4040, 3323, 0.215769, 30298600
ulysses16, 16, 8067, 6859, 0.176119, 347500
ulysses22, 22, 9109, 7013, 0.298874, 675100
eil51, 51, 652, 426, 0.530516, 8336600
berlin52, 52, 10692, 7542, 0.417661, 8968000
kroA100, 100, 36865, 21282, 0.732215, 197811300
kroD100, 100, 39730, 21294, 0.865784, 87615100
ch150, 150, 12252, 6528, 0.876838, 175904600
gr202, 202, 63590, 40160, 0.583416, 413763800
gr229, 229, 227813, 134602, 0.692493, 605456000
pcb442, 442, 94397, 50778, 0.859014, 4798178300
d493, 493, 61210, 35002, 0.748757, 7077259200
dsj1000, 1000, 33368590, 18659688, 0.788272, 92324322400
