Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4062, 3323, 0.222389, 204822
ulysses16, 16, 7685, 6859, 0.120426, 86550
ulysses22, 22, 8022, 7013, 0.143876, 148621
eil51, 51, 594, 426, 0.394366, 988585
berlin52, 52, 10303, 7542, 0.366083, 751721
kroA100, 100, 28809, 21282, 0.353679, 2368161
kroD100, 100, 27340, 21294, 0.283930, 2555031
ch150, 150, 9077, 6528, 0.390472, 6049426
gr202, 202, 49475, 40160, 0.231947, 11120822
gr229, 229, 170751, 134602, 0.268562, 14244665
pcb442, 442, 74368, 50778, 0.464571, 69636704
d493, 493, 45666, 35002, 0.304668, 82189901
dsj1000, 1000, 25729081, 18659688, 0.378859, 445921915
