Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4048, 3323, 0.218176, 29725000
ulysses16, 16, 9874, 6859, 0.439568, 72400
ulysses22, 22, 8628, 7013, 0.230287, 42100
eil51, 51, 534, 426, 0.253521, 794900
berlin52, 52, 8980, 7542, 0.190666, 998800
kroA100, 100, 26854, 21282, 0.261817, 1457500
kroD100, 100, 26947, 21294, 0.265474, 1548800
ch150, 150, 8197, 6528, 0.255668, 14824500
gr202, 202, 49450, 40160, 0.231325, 7864000
gr229, 229, 166150, 134602, 0.234380, 9245400
pcb442, 442, 61609, 50778, 0.213301, 28833100
d493, 493, 43874, 35002, 0.253471, 31209100
dsj1000, 1000, 24630960, 18659688, 0.320009, 97375900
