N, M, MinCut, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,      3056,    347656,     78601,       94.837,     0.000,
       10,        10,       223,     28545,       796,        7.787,     0.082,
       10,        12,      2302,     29576,       451,        8.068,     1.036,
       10,        11,      4974,     29561,      1791,        8.064,     0.999,
       20,        24,      1526,    513325,      3277,       15.896,    17.365,
       20,        24,      1684,    512921,      2947,       15.884,     0.999,
       20,        27,       522,    514064,      1729,       15.919,     1.002,
       20,        25,      2866,    510868,      1773,       15.820,     0.994,
       40,        52,      2137,   4148620,     84653,       17.202,     8.121,
       40,        54,      1446,   3904822,      4734,       16.191,     0.941,
       40,        51,       648,   3916314,      4857,       16.239,     1.003,
       40,        50,      2486,   3947439,      7305,       16.368,     1.008,
       60,        82,      1282,  22233663,      9636,       29.966,     5.632,
       60,        72,       299,  22802408,      8363,       30.733,     1.026,
       60,        83,      2113,  24294197,      8634,       32.743,     1.065,
       60,        79,       159,  25016504,      9119,       33.717,     1.030,
       80,       101,       969,  37632306,     14539,       23.272,     1.504,
       80,       105,      1756,  36928096,     14860,       22.836,     0.981,
       80,       108,       714,  32721728,     13922,       20.235,     0.886,
       80,       108,      2610,  33497222,    242689,       20.715,     1.024,
      100,       128,       341,  97721078,     21427,       33.322,     2.917,
      100,       120,       890,  91197944,    295555,       31.097,     0.933,
      100,       125,       772,  89879059,     22312,       30.648,     0.986,
      100,       133,      1561,  94176238,     21279,       32.113,     1.048,
      150,       197,       951, 423401681,    176799,       49.816,     4.496,
      150,       206,       424, 418572349,     44269,       49.248,     0.989,
      150,       195,      1153, 444841152,     51703,       52.338,     1.063,
      150,       198,       707, 424234766,    105184,       49.914,     0.954,
      200,       276,       484, 1247032227,     74095,       69.804,     2.939,
      200,       260,       850, 1190986456,    130224,       66.667,     0.955,
      200,       269,      1382, 1466945794,     80614,       82.114,     1.232,
      200,       274,      1102, 1319795002,     90987,       73.877,     0.900,
      250,       317,       346, 3454428947,    112708,      109.348,     2.617,
      250,       322,       381, 3761845857,  28151387,      119.079,     1.089,
      250,       338,       129, 3976233408,    106483,      125.865,     1.057,
      250,       326,       670, 3548508568,    121678,      112.326,     0.892,
      300,       403,      1137, 5056741589,    154344,      100.836,     1.425,
      300,       393,       869, 5231281227,    158195,      104.317,     1.035,
      300,       408,       868, 4355584400,    157081,       86.854,     0.833,
      300,       411,      1148, 5110631285,  12087337,      101.911,     1.173,
      350,       468,       676, 12330189293,    286002,      166.754,     2.413,
      350,       475,       290, 12502119959,    236077,      169.079,     1.014,
      350,       462,       818, 13055956404,    225281,      176.570,     1.044,
      350,       474,       175, 10095167626,    226344,      136.528,     0.773,
      400,       543,       508, 18801226517,    317256,      181.946,     1.862,
      400,       527,       904, 20906099211,    287525,      202.316,     1.112,
      400,       526,       362, 13723692682,    289712,      132.809,     0.656,
      400,       525,       509, 19315604617,  74052076,      186.924,     1.407,
      450,       595,       400, 39976548211,    426134,      288.332,     2.070,
      450,       602,       364, 44627334960, 143276872,      321.876,     1.116,
      450,       593,       336, 51468661141,    336093,      371.220,     1.153,
      450,       594,       639, 36940462803, 282842337,      266.435,     0.718,
      500,       670,        43, 42065478390,    457636,      233.465,     1.139,
      500,       671,       805, 51821348954,    531727,      287.610,     1.232,
      500,       670,       363, 40404085963, 309850214,      224.244,     0.780,
      500,       666,       584, 44078246914,    507700,      244.635,     1.091,
