N, M, MinCut, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,      3056,    313368,     83110,      512.903,     0.000,
       10,        10,       223,      9373,       951,       15.341,     0.030,
       10,        12,      2302,      9414,       644,       15.408,     1.004,
       10,        11,      4974,      9734,      1190,       15.932,     1.034,
       20,        24,      1526,    149242,      3255,       27.730,    15.332,
       20,        24,      1684,    140981,      2915,       26.195,     0.945,
       20,        27,       522,    127414,      3645,       23.674,     0.904,
       20,        25,      2866,    141798,      4055,       26.347,     1.113,
       40,        52,      2137,   1147309,     27174,       28.543,     8.091,
       40,        54,      1446,    907277,      7869,       22.572,     0.791,
       40,        51,       648,    860037,      7198,       21.396,     0.948,
       40,        50,      2486,    863781,      7984,       21.490,     1.004,
       60,        82,      1282,   5077105,     14135,       41.057,     5.878,
       60,        72,       299,   5162541,     13414,       41.748,     1.017,
       60,        83,      2113,   5312057,     14437,       42.957,     1.029,
       60,        79,       159,   5175946,     15675,       41.856,     0.974,
       80,       101,       969,   6800095,     22410,       25.231,     1.314,
       80,       105,      1756,   6696983,     22328,       24.849,     0.985,
       80,       108,       714,   6165866,     21898,       22.878,     0.921,
       80,       108,      2610,   6444189,     23656,       23.911,     1.045,
      100,       128,       341,  22379249,     31037,       45.786,     3.473,
      100,       120,       890,  20957086,     29469,       42.877,     0.936,
      100,       125,       772,  20746672,     30153,       42.446,     0.990,
      100,       133,      1561,  21915674,     30756,       44.838,     1.056,
      150,       197,       951, 424653253,   1471369,      299.779,    19.377,
      150,       206,       424, 110249544,    108623,       77.829,     0.260,
      150,       195,      1153, 116585501,    141486,       82.302,     1.057,
      150,       198,       707, 111248804,     62276,       78.535,     0.954,
      200,       276,       484, 286893035,    253315,       96.355,     2.579,
      200,       260,       850, 270186534,    350585,       90.744,     0.942,
      200,       269,      1382, 292387381,    104437,       98.200,     1.082,
      200,       274,      1102, 277946669,    120144,       93.350,     0.951,
      250,       317,       346, 727809832,    416094,      138.230,     2.619,
      250,       322,       381, 764235463,    343662,      145.149,     1.050,
      250,       338,       129, 754798520,    468019,      143.356,     0.988,
      250,       326,       670, 720102173,    397599,      136.766,     0.954,
      300,       403,      1137, 994717442,    491276,      119.013,     1.381,
      300,       393,       869, 1007897590,    743085,      120.590,     1.013,
      300,       408,       868, 963348946,   1221639,      115.260,     0.956,
      300,       411,      1148, 1006985578,    999801,      120.481,     1.045,
      350,       468,       676, 2641351602,    800853,      214.331,     2.623,
      350,       475,       290, 2673852458,   1098681,      216.968,     1.012,
      350,       462,       818, 2685314113,    544050,      217.898,     1.004,
      350,       474,       175, 2535627497,   1195601,      205.752,     0.944,
      400,       543,       508, 4025308490,   1686807,      233.726,     1.587,
      400,       527,       904, 4098762830,   1764492,      237.992,     1.018,
      400,       526,       362, 3502939730,   1966271,      203.395,     0.855,
      400,       525,       509, 3971271595,    873834,      230.589,     1.134,
      450,       595,       400, 9394047225,   2687253,      406.530,     2.366,
      450,       602,       364, 9720919761,   1708261,      420.675,     1.035,
      450,       593,       336, 10499376510,   1491424,      454.363,     1.080,
      450,       594,       639, 9064958849,    866374,      392.288,     0.863,
      500,       670,        43, 11820554733,   1401244,      393.626,     1.304,
      500,       671,       805, 12415668140,   2067670,      413.444,     1.050,
      500,       670,       363, 11765426872,   1607172,      391.791,     0.948,
      500,       666,       584, 11946624086,   1542226,      397.825,     1.015,
