N, M, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,    482351,    156477,      131.581,     0.000,
       10,        10,     62478,      2029,       17.043,     0.130,
       10,        12,     59752,       910,       16.300,     0.956,
       10,        11,     61195,      6748,       16.693,     1.024,
       20,        24,   1059212,      4078,       32.801,    17.309,
       20,        24,   1027571,      6963,       31.821,     0.970,
       20,        27,    973050,      2662,       30.133,     0.947,
       20,        25,    983049,      5180,       30.443,     1.010,
       40,        52,   7910879,      7703,       32.802,     8.047,
       40,        54,   7894233,      6591,       32.733,     0.998,
       40,        51,   7766864,      6537,       32.205,     0.984,
       40,        50,   7895457,      7088,       32.738,     1.017,
       60,        82,  45186959,     98526,       60.902,     5.723,
       60,        72,  44962281,     16389,       60.600,     0.995,
       60,        83,  49460353,    723333,       66.662,     1.100,
