N, M, MinCut, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,      3056,    433577,    146340,      118.276,     0.000,
       10,        10,       223,     61538,      3831,       16.787,     0.142,
       10,        12,      2302,     60661,       955,       16.548,     0.986,
       10,        11,      4974,     67971,      2165,       18.542,     1.121,
       20,        24,      1526,   1094571,      3010,       33.896,    16.104,
       20,        24,      1684,   1050085,      3174,       32.519,     0.959,
       20,        27,       522,    998376,      2938,       30.917,     0.951,
       20,        25,      2866,    984271,      2618,       30.480,     0.986,
       40,        52,      2137,   7895040,      7997,       32.736,     8.021,
       40,        54,      1446,   7784181,     24654,       32.276,     0.986,
       40,        51,       648,   7728701,      6613,       32.046,     0.993,
       40,        50,      2486,   7848756,    148915,       32.544,     1.016,
       60,        82,      1282,  44884736,     13723,       60.495,     5.719,
       60,        72,       299,  44778795,     12589,       60.352,     0.998,
       60,        83,      2113,  48594295,     15247,       65.495,     1.085,
