N, M, MinCut, Time(ns)
       10,        14,      3056,      7840,
       10,        10,       223,       310,
       10,        12,      2302,       170,
       10,        11,      4974,       170,
       20,        24,      1526,       220,
       20,        24,      1684,       260,
       20,        27,       522,       260,
       20,        25,      2866,       250,
       40,        52,      4229,       500,
       40,        54,      2480,       470,
       40,        51,       648,       460,
       40,        50,     10391,       370,
       60,        82,      1536,       650,
       60,        72,       299,      1220,
       60,        83,      3626,       630,
       60,        79,       159,       650,
       80,       101,       969,       800,
       80,       105,      2181,      2090,
       80,       108,       714,      1010,
       80,       108,      8001,      1010,
      100,       128,       341,       750,
      100,       120,       890,       880,
      100,       125,       772,       920,
      100,       133,      1561,       870,
      150,       197,      3191,      1170,
      150,       206,       424,      1050,
      150,       195,      1153,      1220,
      150,       198,       707,      1080,
      200,       276,       484,      1190,
      200,       260,       850,      1280,
      200,       269,      1382,      1000,
      200,       274,      1581,      1390,
      250,       317,       346,      1740,
      250,       322,       381,      1700,
      250,       338,       129,      1710,
      250,       326,       670,      1580,
      300,       403,      4708,      1830,
      300,       393,       869,      2020,
      300,       408,       868,      2030,
      300,       411,      1929,      2030,
      350,       468,       676,      2670,
      350,       475,       290,      1680,
      350,       462,      6001,      2140,
      350,       474,       175,      1650,
      400,       543,       508,      3340,
      400,       527,       904,      2580,
      400,       526,       362,      2620,
      400,       525,      1102,      2110,
      450,       595,       400,      2940,
      450,       602,       364,      2920,
      450,       593,       336,      2150,
      450,       594,       639,      2880,
      500,       670,        43,      3250,
      500,       671,      1929,      4050,
      500,       670,       363,      3980,
      500,       666,       584,      3320,
